"class","y","x"
"mean","1","0"
"mean","1","0.01"
"mean","1","0.02"
"mean","1","0.03"
"mean","1","0.04"
"mean","1","0.051"
"mean","1","0.061"
"mean","1","0.071"
"mean","1","0.081"
"mean","1","0.091"
"mean","1","0.101"
"mean","1","0.111"
"mean","1","0.121"
"mean","1","0.131"
"mean","1","0.141"
"mean","1","0.152"
"mean","0.995","0.162"
"mean","0.995","0.172"
"mean","0.995","0.182"
"mean","0.995","0.192"
"mean","0.995","0.202"
"mean","0.995","0.212"
"mean","0.991","0.222"
"mean","0.991","0.232"
"mean","0.991","0.242"
"mean","0.991","0.253"
"mean","0.991","0.263"
"mean","0.991","0.273"
"mean","0.991","0.283"
"mean","0.991","0.293"
"mean","0.991","0.303"
"mean","0.991","0.313"
"mean","0.991","0.323"
"mean","0.991","0.333"
"mean","0.991","0.343"
"mean","0.991","0.354"
"mean","0.991","0.364"
"mean","0.991","0.374"
"mean","0.991","0.384"
"mean","0.991","0.394"
"mean","0.991","0.404"
"mean","0.991","0.414"
"mean","0.991","0.424"
"mean","0.991","0.434"
"mean","0.991","0.444"
"mean","0.991","0.455"
"mean","0.991","0.465"
"mean","0.991","0.475"
"mean","0.991","0.485"
"mean","0.991","0.495"
"mean","0.991","0.505"
"mean","0.991","0.515"
"mean","0.991","0.525"
"mean","0.991","0.535"
"mean","0.991","0.545"
"mean","0.991","0.556"
"mean","0.991","0.566"
"mean","0.991","0.576"
"mean","0.989","0.586"
"mean","0.989","0.596"
"mean","0.988","0.606"
"mean","0.987","0.616"
"mean","0.987","0.626"
"mean","0.987","0.636"
"mean","0.987","0.646"
"mean","0.987","0.657"
"mean","0.987","0.667"
"mean","0.987","0.677"
"mean","0.987","0.687"
"mean","0.987","0.697"
"mean","0.986","0.707"
"mean","0.986","0.717"
"mean","0.986","0.727"
"mean","0.985","0.737"
"mean","0.985","0.747"
"mean","0.985","0.758"
"mean","0.984","0.768"
"mean","0.981","0.778"
"mean","0.979","0.788"
"mean","0.977","0.798"
"mean","0.974","0.808"
"mean","0.972","0.818"
"mean","0.969","0.828"
"mean","0.966","0.838"
"mean","0.963","0.848"
"mean","0.96","0.859"
"mean","0.956","0.869"
"mean","0.954","0.879"
"mean","0.945","0.889"
"mean","0.938","0.899"
"mean","0.934","0.909"
"mean","0.932","0.919"
"mean","0.921","0.929"
"mean","0.915","0.939"
"mean","0.904","0.949"
"mean","0.889","0.96"
"mean","0.873","0.97"
"mean","0.839","0.98"
"mean","0.763","0.99"
"mean","0","1"
"Vehicle","1","0"
"Vehicle","1","0.01"
"Vehicle","1","0.02"
"Vehicle","1","0.03"
"Vehicle","1","0.04"
"Vehicle","1","0.051"
"Vehicle","1","0.061"
"Vehicle","1","0.071"
"Vehicle","1","0.081"
"Vehicle","1","0.091"
"Vehicle","1","0.101"
"Vehicle","1","0.111"
"Vehicle","1","0.121"
"Vehicle","1","0.131"
"Vehicle","1","0.141"
"Vehicle","1","0.152"
"Vehicle","0.995","0.162"
"Vehicle","0.995","0.172"
"Vehicle","0.995","0.182"
"Vehicle","0.995","0.192"
"Vehicle","0.995","0.202"
"Vehicle","0.995","0.212"
"Vehicle","0.991","0.222"
"Vehicle","0.991","0.232"
"Vehicle","0.991","0.242"
"Vehicle","0.991","0.253"
"Vehicle","0.991","0.263"
"Vehicle","0.991","0.273"
"Vehicle","0.991","0.283"
"Vehicle","0.991","0.293"
"Vehicle","0.991","0.303"
"Vehicle","0.991","0.313"
"Vehicle","0.991","0.323"
"Vehicle","0.991","0.333"
"Vehicle","0.991","0.343"
"Vehicle","0.991","0.354"
"Vehicle","0.991","0.364"
"Vehicle","0.991","0.374"
"Vehicle","0.991","0.384"
"Vehicle","0.991","0.394"
"Vehicle","0.991","0.404"
"Vehicle","0.991","0.414"
"Vehicle","0.991","0.424"
"Vehicle","0.991","0.434"
"Vehicle","0.991","0.444"
"Vehicle","0.991","0.455"
"Vehicle","0.991","0.465"
"Vehicle","0.991","0.475"
"Vehicle","0.991","0.485"
"Vehicle","0.991","0.495"
"Vehicle","0.991","0.505"
"Vehicle","0.991","0.515"
"Vehicle","0.991","0.525"
"Vehicle","0.991","0.535"
"Vehicle","0.991","0.545"
"Vehicle","0.991","0.556"
"Vehicle","0.991","0.566"
"Vehicle","0.991","0.576"
"Vehicle","0.989","0.586"
"Vehicle","0.989","0.596"
"Vehicle","0.988","0.606"
"Vehicle","0.987","0.616"
"Vehicle","0.987","0.626"
"Vehicle","0.987","0.636"
"Vehicle","0.987","0.646"
"Vehicle","0.987","0.657"
"Vehicle","0.987","0.667"
"Vehicle","0.987","0.677"
"Vehicle","0.987","0.687"
"Vehicle","0.987","0.697"
"Vehicle","0.986","0.707"
"Vehicle","0.986","0.717"
"Vehicle","0.986","0.727"
"Vehicle","0.985","0.737"
"Vehicle","0.985","0.747"
"Vehicle","0.985","0.758"
"Vehicle","0.984","0.768"
"Vehicle","0.981","0.778"
"Vehicle","0.979","0.788"
"Vehicle","0.977","0.798"
"Vehicle","0.974","0.808"
"Vehicle","0.972","0.818"
"Vehicle","0.969","0.828"
"Vehicle","0.966","0.838"
"Vehicle","0.963","0.848"
"Vehicle","0.96","0.859"
"Vehicle","0.956","0.869"
"Vehicle","0.954","0.879"
"Vehicle","0.945","0.889"
"Vehicle","0.938","0.899"
"Vehicle","0.934","0.909"
"Vehicle","0.932","0.919"
"Vehicle","0.921","0.929"
"Vehicle","0.915","0.939"
"Vehicle","0.904","0.949"
"Vehicle","0.889","0.96"
"Vehicle","0.873","0.97"
"Vehicle","0.839","0.98"
"Vehicle","0.763","0.99"
"Vehicle","0","1"